inicio,gabinete,qtd_part,partidos
2012-12-01,Rousseff I-3,8,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT"
2013-01-01,Rousseff I-3,8,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT"
2013-02-01,Rousseff I-3,8,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT"
2013-03-01,Rousseff I-3,8,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT"
2013-04-01,Rousseff I-3,8,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT"
2013-05-01,Rousseff I-4,9,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT, PSD"
2013-06-01,Rousseff I-4,9,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT, PSD"
2013-07-01,Rousseff I-4,9,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT, PSD"
2013-08-01,Rousseff I-4,9,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT, PSD"
2013-09-01,Rousseff I-4,9,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT, PSD"
2013-10-01,Rousseff I-4,9,"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT, PSD"
2013-11-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2013-12-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-01-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-02-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-03-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-04-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-05-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-06-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-07-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-08-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-09-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-10-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-11-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2014-12-01,Rousseff I-5,8,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2015-01-01,Rousseff II-1,10,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2015-02-01,Rousseff II-1,10,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2015-03-01,Rousseff II-1,10,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2015-04-01,Rousseff II-1,10,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2015-05-01,Rousseff II-1,10,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2015-06-01,Rousseff II-1,10,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2015-07-01,Rousseff II-1,10,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2015-08-01,Rousseff II-1,10,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2015-09-01,Rousseff II-1,10,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2015-10-01,Rousseff II-2,9,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB"
2015-11-01,Rousseff II-2,9,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB"
2015-12-01,Rousseff II-2,9,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB"
2016-01-01,Rousseff II-2,9,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB"
2016-02-01,Rousseff II-2,9,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB"
2016-03-01,Rousseff II-2,9,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB"
2016-04-01,Rousseff II-2,9,"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB"
